categories,productos,coto_id,name,price,unit_price
Alimentos Secos,Polvo Para Postres,287965,Gelatina Light Arandanos FRAMS Cja 26 Grm,16.99,Precio por 100 Gramos : $65.35
Alimentos Secos,Polvo Para Postres,287966,Gelatina Light Cereza FRAMS Cja 26 Grm,16.99,Precio por 100 Gramos : $65.35
Alimentos Secos,Bizcochuelos - Budines - Especialidades,55677,Biscuits GOLD MUNDO Paq 250 Grm,44.39,Precio por 1 Kilo : $177.56
Alimentos Secos,Bizcochuelos - Budines - Especialidades,81779,Biscuits H.J. Paq 130 Grm,16.05,Precio por 1 Kilo : $123.46
Alimentos Secos,Bizcochuelos - Budines - Especialidades,7746,Biscuits SORIANO Bol 250 Grm,44.89,Precio por 1 Kilo : $179.56
Alimentos Secos,Bizcochuelos - Budines - Especialidades,206615,Biscuits SORIANO Con Chips Paq 200  Grm,33.89,Precio por 1 Kilo : $169.45
Alimentos Secos,Bizcochuelos - Budines - Especialidades,67098,Biscuits SORIANO Paq 125 Grm,22.75,Precio por 1 Kilo : $182.00
Alimentos Secos,Bizcochuelos - Budines - Especialidades,163559,Biscuits TIA MARUCA Bsa 140 Grm,22.45,Precio por 1 Kilo : $160.35
Alimentos Secos,Bizcochuelos - Budines - Especialidades,282659,Bizcochitos LA CUMBRE C/ Semillas De Ses Bsa 170 Grm,26.05,Precio por 1 Kilo : $153.23
Alimentos Secos,Bizcochuelos - Budines - Especialidades,282647,Bizcochitos LA CUMBRE C/Semillas De Chia Bsa 170 Grm,28.45,Precio por 1 Kilo : $167.35
Alimentos Secos,Bizcochuelos - Budines - Especialidades,282646,Bizcochitos LA CUMBRE Clasicos 0,20.6,Precio por 1 Kilo : $121.17
Alimentos Secos,Bizcochuelos - Budines - Especialidades,282660,Bizcochitos LA CUMBRE Clasicos Materos Paq 170 Grm,18.49,Precio por 1 Kilo : $108.76
Alimentos Secos,Bizcochuelos - Budines - Especialidades,272616,Bizcocho Dulces GALLO SNACK Tortita Negra Bsa 100 Grm,24.99,Precio por 1 Kilo : $249.90
Alimentos Secos,Bizcochuelos - Budines - Especialidades,30178,Bizcochos Agridulce 9 DE ORO Bol 200 Grm,12.29,Precio por 1 Kilo : $61.45
Alimentos Secos,Arroz,2270,Arroz Ala Blanco Paq 1 Kgm,16.15,Precio por 1 Kilogramo : $16.15
Alimentos Secos,Arroz,132645,Arroz CIUDAD DEL LAGO Largo Fino 0000 Paq 1 Kgm,11.99,Precio por 1 Kilogramo : $11.99
Alimentos Secos,Arroz,132642,Arroz CIUDAD DEL LAGO Largo Fino 00000 Paq 1 Kgm,12.85,Precio por 1 Kilogramo : $12.85
Alimentos Secos,Arroz,250117,Arroz DOS HERMANOS Carnaroli Cja 500 Grm,32.09,Precio por 1 Kilogramo : $64.18
Alimentos Secos,Arroz,6099,Arroz DOS HERMANOS Integral Paq 1 Kgm,16.85,Precio por 1 Kilogramo : $16.85
